"period","holoplankton","meroplankton","num_samples"
"2012-07",0.00012,0,1
"2012-08",0.000332533333333333,0,2
"2012-09",1.62309523809524e-05,0,3
"2012-10",1.91916666666667e-05,0,2
"2012-11",5.84166666666667e-06,0,2
"2012-12",1.61777777777778e-05,0,3
"2013-01",6.78571428571429e-07,0,2
"2013-02",2.42857142857143e-06,0,1
"2013-03",4.41746031746031e-06,0,3
"2013-04",1.65916666666667e-05,0,2
"2013-05",1.98452380952381e-05,0,2
"2013-06",2.91365079365079e-05,1.26031746031746e-06,3
"2013-07",9.25873015873016e-06,0,3
"2013-08",9.53015873015873e-06,0,3
"2013-09",5.29761904761905e-06,0,2
"2013-11",1.17857142857143e-05,0,3
"2013-12",8.96507936507936e-06,0,3
"2014-03",0.000793647324189621,8.95740402976489e-06,8
"2014-04",0.000808355950330561,0.000304253156877681,3
"2014-05",0.00537533815826191,0.000243641389609605,6
"2014-06",0.000211544025169614,8.95740402976489e-06,4
"2014-07",0.00228000766906521,0,3
"2014-08",0.00223337940475471,0.0015048438770005,3
"2014-09",0.00317450398814868,0.00642066720853547,3
"2014-10",0.00035214727654933,0,4
"2014-11",0.000812511190533257,0,3
"2014-12",0.000163024753341721,3.69492916227801e-06,2
"2015-02",0.000628959052956658,0.000645306315310979,4
"2015-03",0.00102751376892547,1.79148080595298e-05,4
"2015-04",0.00205602280496537,0.000116844359232711,3
"2015-05",0.0081920436187772,0.000126398923531127,3
"2015-06",0.00500559642525551,7.61379342530016e-05,5
"2015-07",0.00137934069387235,3.75091293746405e-05,5
"2015-08",0.00162785889234261,1.34361060446473e-05,4
"2015-09",0.00119021506045501,0,3
"2015-10",0.00178690257722666,0,3
"2015-11",0.00165602495168065,0,3
"2015-12",0.000140463291941751,0,4
"2016-01",0.000545008271855473,2.50807312833417e-05,4
"2016-02",0.000222939833629704,0,3
"2016-03",0.00170548972726723,1.25403656416708e-05,4
"2016-04",0.000848067108195852,2.09006094027847e-05,4
"2016-05",0.00847012125054566,0.000284248287877873,3
"2016-06",0.00122019748227686,3.59291428305014e-05,3
"2016-07",0.00363770130319896,0.000145109945282191,5
"2016-08",0.00110355217646704,0,1
"2016-09",0.0011244030225141,2.09006094027847e-05,4
"2016-10",0.00155094962607593,2.68722120892946e-06,5
"2016-11",0.00112169091962731,3.54563909511527e-06,5
"2016-12",0.00100054203012474,0,3
"2017-03",0.00382376649023947,8.15123766708607e-05,2
"2017-04",0.00252300213505045,0.000516543632383109,2
"2017-05",0.00205821239261709,0.00513557831039854,5
"2017-06",0.00323740486977992,0.000100322925133367,4
"2017-07",0.00143109458382211,7.70336746559782e-05,5
"2017-08",0.0034276999420567,0,2
"2017-09",0.00374051239611838,5.10572029696599e-05,5
"2017-10",0.00132917923130567,3.53319825618504e-05,3
"2017-11",0.000841249528462086,2.61257617534809e-05,1
"2017-12",0.000390524154439354,0,4
"2018-01",5.41176493464962e-05,0,2
"2018-02",0.000220103322353612,2.61257617534809e-06,4
"2018-03",0.00106632918638779,0,3
"2018-04",0.000737891038629743,6.98677514321663e-05,3
"2018-05",0.00519788203176113,0.000237072626654444,3
"2018-06",0.000810645064693723,3.58296161190596e-05,1
"2018-07",0.0019591584330546,0,3
"2018-08",0.000270314548276016,0,3
"2018-09",0.000240755114977792,2.50807312833417e-05,4
"2018-10",0.000681957026799433,2.83651127609222e-05,5
"2018-11",0.000369701300279883,1.29929011577579e-05,5
"2018-12",0.000492507931569906,3.35902651116183e-06,4
"2019-01",0.000346315633300785,5.42420577357985e-06,3
"2019-02",0.000169811230978161,3.40567965715019e-06,5
"2019-03",0.000531024768897895,1.04503047013924e-05,4
"2019-04",0.000644982853498793,0.000506018682648135,3
"2019-05",0.00513318966932393,0.000100322925133367,3
"2019-06",0.000330528208698325,1.79148080595298e-05,3
"2019-07",0.00146941236772721,2.50807312833417e-05,4
"2019-08",0.00105219639336305,3.39634902795252e-05,5
"2019-09",0.00155045199251872,7.38985832455601e-06,6
"2019-10",0.00087837299182989,1.19432053730199e-05,5
"2019-11",0.000511044781575948,2.23935100744122e-06,4
"2019-12",0.000372805289592975,0,4
"2020-02",0.000668138364957682,2.93230573585498e-05,7
"2020-05",0.00281786207217435,0.000267804744248353,13
"2020-06",0.00605440891042954,0.00128986618028614,4
"2020-07",0.00483076693848712,0,2
"2020-08",0.00101371850126997,0,3
"2020-09",0.000799398546300796,0.000689720110291897,4
"2020-11",0.000734731065541464,0,2
"2020-12",0.000441898598801735,0.000259764716863182,4
