"period","holoplankton","meroplankton","num_samples"
"2012-07",0.000835035190887753,0,11
"2012-07",0,4.70837379077211e-06,11
"2012-08",0.000219315687211339,0,5
"2012-08",0,7.27461910070607e-06,5
"2012-09",5.81746031746032e-06,0,4
"2012-09",0,1.31054131054131e-07,4
"2012-10",5.68525301858635e-06,0,3
"2012-11",3.93408057991391e-06,0,6
"2012-11",0,3.07765151515151e-08,6
"2012-12",5.81195807011024e-06,0,4
"2013-01",1.43756967670011e-06,0,3
"2013-02",2.60197871919909e-06,0,8
"2013-02",0,8.33333333333333e-08,8
"2013-03",3.9824016563147e-06,0,2
"2013-04",3.10033444816054e-06,0,3
"2013-05",5.58333333333334e-05,3.33333333333333e-07,1
"2013-06",1.6322187715666e-05,0,5
"2013-06",0,2.62525879917184e-06,5
"2013-07",1.1021978021978e-05,0,4
"2013-07",0,1.48148148148148e-07,4
"2013-08",6.56913521261348e-06,0,5
"2013-08",0,4.34782608695652e-08,5
"2013-09",1.1209230061404e-05,0,5
"2013-11",8.27370777370777e-06,0,4
"2013-12",8.22836525050163e-06,0,5
"2014-03",0.00128085878578947,0,8
"2014-04",0.000506772000654447,0,13
"2014-04",0,2.3349460647165e-05,13
"2014-05",0.00522297892550188,0,3
"2014-05",0,5.68961033742474e-05,3
"2014-06",0.00263901579643007,0,10
"2014-06",0,6.01618238874553e-05,10
"2014-07",0.00171899939653338,0,3
"2014-08",0.000705917992428048,0,4
"2014-08",0,6.12419829058651e-05,4
"2014-09",0.00104684791443513,0,1
"2014-10",0.000951491588565129,0,3
"2014-10",0,0.000557955398839558,3
"2014-11",0.00106060856410405,0,3
"2014-11",0,1.19432053730199e-05,3
"2014-12",0.000238016778148041,0,5
"2014-12",0,6.63511409612214e-07,5
"2015-02",0.000557907421422023,0,12
"2015-02",0,2.32947427541071e-06,12
"2015-03",0.00170340153869402,0,4
"2015-03",0,5.79851275356762e-06,4
"2015-04",0.000882299858728434,7.52500161835331e-05,4
"2015-05",0.00834407605182624,0.000948416107774245,5
"2015-06",0.00609790979490942,0,13
"2015-06",0,0.000596644310987914,13
"2015-07",0.00270205279708092,0,5
"2015-07",0,7.63185830011244e-05,5
"2015-08",0.00197771081677258,0.00115091468605397,5
"2015-09",0.0024228863323037,0,12
"2015-09",0,7.31544572507563e-05,12
"2015-10",0.00176143613832832,0,5
"2015-10",0,3.01975359933211e-05,5
"2015-11",0.000725564150572035,0,4
"2015-11",0,5.97160268650993e-06,4
"2015-12",0.000191742314930843,0,4
"2016-01",0.000355892041881603,0,4
"2016-02",0.000438539225646358,0,13
"2016-03",0.00218321306016428,0,5
"2016-04",0.000517836481036085,0,5
"2016-04",0,1.63569986630489e-05,5
"2016-05",0.00669462685327112,0.000236832297939859,5
"2016-06",0.00174319315286548,9.39527717807486e-05,5
"2016-07",0.00429343342987628,0,5
"2016-07",0,5.22121344517089e-05,5
"2016-08",0.00131204277316895,0,4
"2016-08",0,1.27725946350351e-05,4
"2016-09",0.00126061493715772,0,9
"2016-09",0,4.02070631156081e-05,9
"2016-10",0.00220392987309044,3.49108781664104e-05,11
"2016-11",0.00288752975573713,0,5
"2016-11",0,4.82321755448879e-06,5
"2016-12",0.000564822877155555,0,4
"2016-12",0,9.71827852665713e-07,4
"2017-03",0.00206228669076775,0,12
"2017-03",0,3.78004274849658e-05,12
"2017-04",0.00198555789326455,0.000543415844472403,1
"2017-05",0.00381069017978234,0,13
"2017-05",0,0.000318162869484091,13
"2017-06",0.00515452386102757,0,12
"2017-06",0,0.000103667493644768,12
"2017-07",0.00157054459925217,0,5
"2017-07",0,4.98399147297175e-05,5
"2017-08",0.00326758975689352,0,5
"2017-08",0,5.05955188600618e-05,5
"2017-09",0.0027707804785498,0.00161534981005542,12
"2017-10",0.00101002594866771,0.000116393783363788,13
"2017-12",0.00132921665359256,0,6
"2017-12",0,8.29266889293859e-06,6
"2018-01",7.53340646605868e-05,0,2
"2018-02",0.000472470990161345,0,12
"2018-02",0,1.56754570520886e-06,12
"2018-03",0.00194739368640897,0,8
"2018-03",0,1.21845997933027e-05,8
"2018-04",0.000721373099615584,0,4
"2018-04",0,1.41825563804611e-05,4
"2018-05",0.00204051336052217,0.000103481466781057,13
"2018-06",0.00535476709379021,0,11
"2018-06",0,0.000208634621462512,11
"2018-07",0.00301964275520198,3.93194864144664e-05,5
"2018-08",0.000806621722348581,0,5
"2018-08",0,0.000283982883314028,5
"2018-09",0.000752943317604907,0,13
"2018-09",0,3.59682245760065e-05,13
"2018-10",0.000521206399781933,0,13
"2018-10",0,1.88670513571072e-05,13
"2018-11",0.000682530508448877,0,13
"2018-11",0,6.90208450527425e-06,13
"2018-12",0.000790175189866453,0,5
"2018-12",0,7.32950222554308e-06,5
"2019-01",0.00058792845212609,0,13
"2019-01",0,4.72174270177934e-06,13
"2019-02",0.000838425998930964,0,5
"2019-02",0,4.10547684697557e-05,5
"2019-03",0.00166012998512004,0,13
"2019-03",0,4.81670920905396e-05,13
"2019-04",0.000173071881357266,0,13
"2019-04",0,6.72809845686268e-05,13
"2019-05",0.00442874157572984,0,13
"2019-05",0,0.000370594218090268,13
"2019-06",0.00266815750257065,0,5
"2019-06",0,2.25677529000369e-05,5
"2019-07",0.00114766869503588,0,5
"2019-07",0,0.000147871229010505,5
"2019-08",0.00127658946122141,9.92565912868655e-05,5
"2019-09",0.00139842227786928,0,4
"2019-09",0,1.13473765653915e-05,4
"2019-10",0.000986594223258806,0,7
"2019-10",0,2.19129206499713e-05,7
"2019-11",0.000583730181919719,0,5
"2019-11",0,1.36308322192074e-06,5
"2019-12",0.000395864381728134,0,13
"2019-12",0,1.000812120421e-06,13
"2020-02",0.00108774041109276,0,2
"2020-02",0,1.0904665775366e-05,2
"2020-05",0.00362223571769057,0,5
"2020-05",0,0.000203532124898547,5
"2020-06",0.00735405777866931,0,5
"2020-06",0,0.000391509456400182,5
"2020-07",0.0121682990667638,0,5
"2020-07",0,6.10940890235246e-05,5
"2020-08",0.00156182547126791,0,5
"2020-08",0,0.000220796181383264,5
"2020-09",0.00103131253817813,0.000173557053851091,4
"2020-11",0.0015457872465647,0,5
"2020-11",0,5.45233288768298e-06,5
"2020-12",0.000924677523875182,0,4
"2020-12",0,5.97160268650993e-06,4
